transaction_id,timestamp,bank,card_type,merchant_category,customer_tier,amount,currency,is_international,status,latency_ms,error_code
TXN00000,2026-01-31 00:00:00.000,HDFC,Rewards,Travel,VIP,1264.72,INR,False,FAILED,567,DECLINED
TXN00001,2026-01-31 00:00:34.560,Kotak,Debit,Utilities,VIP,13.56,GBP,True,SUCCESS,2895,
TXN00002,2026-01-31 00:01:09.120,Kotak,Debit,Travel,New,2874.58,INR,False,SUCCESS,226,
TXN00003,2026-01-31 00:01:43.680,SBI,Corporate,Food,VIP,704.81,INR,False,SUCCESS,407,
TXN00004,2026-01-31 00:02:18.240,Axis,Rewards,Food,VIP,1570.55,INR,False,SUCCESS,203,
TXN00005,2026-01-31 00:02:52.800,HDFC,Debit,Utilities,VIP,1311.97,INR,False,SUCCESS,203,
TXN00006,2026-01-31 00:03:27.360,ICICI,Debit,Utilities,New,585.61,INR,False,SUCCESS,274,
TXN00007,2026-01-31 00:04:01.920,HDFC,Rewards,Food,New,183.94,INR,False,SUCCESS,77,
TXN00008,2026-01-31 00:04:36.480,ICICI,Debit,Travel,VIP,5.15,GBP,True,FAILED,392,FRAUD_CHECK_TIMEOUT
TXN00009,2026-01-31 00:05:11.040,ICICI,Credit,Food,Regular,1092.95,INR,False,SUCCESS,159,
TXN00010,2026-01-31 00:05:45.600,HDFC,Credit,Travel,VIP,274.62,INR,False,FAILED,1357,FRAUD_CHECK_TIMEOUT
TXN00011,2026-01-31 00:06:20.160,Kotak,Credit,Food,VIP,709.54,INR,False,SUCCESS,256,
TXN00012,2026-01-31 00:06:54.720,ICICI,Debit,Travel,New,3.26,USD,True,SUCCESS,195,
TXN00013,2026-01-31 00:07:29.280,Axis,Corporate,Utilities,VIP,928.88,INR,False,SUCCESS,134,
TXN00014,2026-01-31 00:08:03.840,Kotak,Rewards,Utilities,New,1148.02,INR,False,SUCCESS,189,
TXN00015,2026-01-31 00:08:38.400,SBI,Debit,E-commerce,New,32.36,INR,False,FAILED,142,DECLINED
TXN00016,2026-01-31 19:37:00.000,ICICI,Debit,E-commerce,VIP,753.51,INR,False,FAILED,207,SERVICE_UNAVAILABLE
TXN00017,2026-01-31 00:09:47.520,Kotak,Rewards,E-commerce,New,364.7,INR,False,SUCCESS,332,
TXN00018,2026-01-31 00:10:22.080,Kotak,Rewards,Food,VIP,320.08,INR,False,SUCCESS,270,
TXN00019,2026-01-31 00:10:56.640,HDFC,Rewards,Travel,New,177.24,INR,False,SUCCESS,117,
TXN00020,2026-01-31 00:11:31.200,ICICI,Credit,Travel,Regular,994.98,INR,False,SUCCESS,323,
TXN00021,2026-01-31 19:58:00.000,ICICI,Debit,E-commerce,New,563.47,INR,False,FAILED,291,SERVICE_UNAVAILABLE
TXN00022,2026-01-31 00:12:40.320,ICICI,Credit,E-commerce,VIP,774.89,INR,False,SUCCESS,219,
TXN00023,2026-01-31 00:13:14.880,HDFC,Corporate,E-commerce,New,260.45,INR,False,SUCCESS,178,
TXN00024,2026-01-31 00:13:49.440,Kotak,Credit,Food,New,6.47,EUR,True,SUCCESS,355,
TXN00025,2026-01-31 00:14:24.000,SBI,Credit,Food,Regular,1118.93,INR,False,SUCCESS,73,
